M,source_type,source_param,seed,probabilities,huffman_lengths,Lbar,support_overlap_shift,grouping_strategy,groups,payload_generation_mode,P_group_lower,P_fix_upper,P_group_sdp,P_fix_sdp,C_Huff,C_fix,M_cert,dual_feasibility_residual,primal_feasibility_residual,positive_certificate,decoding_method,result_type
4,zipf,1.8,7580,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,1,random,"1,2|0,3",optimized,0.9999532914445466,0.9811356609301035,0.999999686423169,0.9810882659514809,2.4833646919639962,2,-0.0879071601735198,9.278995724504302e-06,2.0227803483915972e-08,False,exact_sdp,exact
4,zipf,1.8,7580,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,1,overlap_aware,"0|1,2,3",optimized,0.9999993621620106,0.9810899037894704,1.0,0.9810882659514809,2.4833646919639962,2,-0.08786572987070368,1.2756759787793114e-07,3.8445403209078566e-10,False,exact_sdp,exact
4,zipf,1.8,7611,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,0,random,"0,2|1,3",optimized,0.9792211907517417,0.9384882059521944,0.9792745215314838,0.9384338751724524,2.4833646919639962,2,-0.07493182418738897,1.066615594839723e-05,3.318413560029047e-08,False,exact_sdp,exact
4,zipf,1.8,7611,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,0,overlap_aware,"0|1,2,3",optimized,0.9645514477513278,0.9384743783291437,0.9645909509080192,0.9384338751724524,2.4833646919639962,2,-0.08083211484240221,7.90063133826524e-06,3.318413560029047e-08,False,exact_sdp,exact
4,zipf,1.8,7611,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,1,random,"0,2|1,3",optimized,0.9999997780142617,0.9810894851593873,0.9999999972221936,0.9810882659514554,2.4833646919639962,2,-0.08786535310049443,4.384158639173509e-08,9.959774451314661e-11,False,exact_sdp,exact
4,zipf,1.8,7611,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,1,overlap_aware,"0|1,2,3",optimized,0.9999993621620105,0.9810899037894449,1.0,0.9810882659514554,2.4833646919639962,2,-0.08786572987069102,1.2756759791231392e-07,3.844523146770938e-10,False,exact_sdp,exact
4,dirichlet,0.5,7450,0.0016437816;0.48872377;0.24139941;0.26823304,3;1;3;2,1.754319419851122,0,random,"1,2|0,3",optimized,0.9570721457150538,0.8629751239885791,0.9570805467061853,0.8629657229974477,2.754319419851122,2,-0.08400711407776357,1.6801982262779491e-06,1.2224098108730756e-08,False,exact_sdp,exact
4,dirichlet,0.5,7450,0.0016437816;0.48872377;0.24139941;0.26823304,3;1;3;2,1.754319419851122,0,overlap_aware,"0,1|2,3",optimized,0.9256067507335275,0.8629751239885791,0.9256151517246589,0.8629657229974477,2.754319419851122,2,-0.09543113220534416,1.6801982262779491e-06,1.2224098108730756e-08,False,exact_sdp,exact
4,dirichlet,0.5,7450,0.0016437816;0.48872377;0.24139941;0.26823304,3;1;3;2,1.754319419851122,1,random,"1,2|0,3",optimized,0.9999997367620114,0.9776960351530327,0.9999999992030647,0.9776947727119794,2.754319419851122,2,-0.1257820167507792,5.2488210677653225e-08,1.7830245864012303e-09,False,exact_sdp,exact
4,dirichlet,0.5,7450,0.0016437816;0.48872377;0.24139941;0.26823304,3;1;3;2,1.754319419851122,1,overlap_aware,"0,1|2,3",optimized,0.9999866932280015,0.9777090794839779,1.0,0.9776947727119794,2.754319419851122,2,-0.12579327458122802,2.6613543997009353e-06,6.436939930429438e-09,False,exact_sdp,exact
