q_base,deltaC_over_Cbase,threshold_qL,advantage_possible
0.004,0.7000000000000001,-0.6932,False
0.004,0.71,-0.70316,False
0.004,0.72,-0.71312,False
0.004,0.73,-0.72308,False
0.004,0.74,-0.73304,False
0.004,0.75,-0.743,False
0.004,0.76,-0.75296,False
0.004,0.77,-0.76292,False
0.004,0.78,-0.77288,False
0.004,0.79,-0.78284,False
0.004,0.8,-0.7928000000000001,False
0.004,0.81,-0.80276,False
0.004,0.8200000000000001,-0.8127200000000001,False
0.004,0.8300000000000001,-0.8226800000000001,False
0.004,0.84,-0.8326399999999999,False
0.004,0.85,-0.8426,False
0.004,0.86,-0.85256,False
0.004,0.87,-0.86252,False
0.004,0.88,-0.87248,False
0.004,0.89,-0.88244,False
0.004,0.9,-0.8924,False
0.004,0.91,-0.90236,False
0.004,0.92,-0.91232,False
0.004,0.93,-0.92228,False
0.004,0.9400000000000001,-0.9322400000000001,False
0.004,0.9500000000000001,-0.9422,False
0.004,0.96,-0.95216,False
0.004,0.97,-0.96212,False
0.004,0.98,-0.9720799999999999,False
0.004,0.99,-0.98204,False
0.004,1.0,-0.992,False
0.004,1.01,-1.00196,False
0.004,1.02,-1.01192,False
0.004,1.03,-1.0218800000000001,False
0.004,1.04,-1.03184,False
0.004,1.05,-1.0418,False
0.004,1.06,-1.05176,False
0.004,1.07,-1.06172,False
0.004,1.08,-1.07168,False
0.004,1.09,-1.0816400000000002,False
0.004,1.1,-1.0916000000000001,False
0.004,1.11,-1.10156,False
0.004,1.12,-1.11152,False
0.004,1.1300000000000001,-1.12148,False
0.004,1.1400000000000001,-1.1314400000000002,False
0.004,1.1500000000000001,-1.1414000000000002,False
0.004,1.16,-1.15136,False
0.004,1.17,-1.16132,False
0.004,1.18,-1.1712799999999999,False
0.004,1.19,-1.1812399999999998,False
0.004,1.2,-1.1912,False
0.004,1.21,-1.20116,False
0.004,1.22,-1.21112,False
0.004,1.23,-1.22108,False
0.004,1.24,-1.23104,False
