p,scheme,code_name,n,k,d,redundancy_r,q_L,P_corr,P_global_opt,P_group,P_fallback,P_success,C_total,eta,baseline_type
0.17400000000000002,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3508259136535976,0.6491740863464024,0.6947920446914665,0.9942847833185422,0.5,0.8208768726057442,16.2,0.05067141188924347,group_QEC
0.17400000000000002,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.4816757190532788,0.5183242809467212,0.6947920446914665,0.9942847833185422,0.5,0.7561998048964893,20.0,0.03780999024482447,group_QEC
0.17400000000000002,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.29686561050541393,0.7031343894945861,0.6947920446914665,0.9942847833185422,0.5,0.847548629355147,23.799999999999997,0.035611286947695255,group_QEC
0.176,global_noQEC,global_noQEC,1,1,1,1.0,0.176,0.8240000000000001,0.6947920446914665,0.9942847833185422,0.5,0.6429086448257685,1.9,0.3383729709609308,global_noQEC
0.176,group_noQEC,group_noQEC,1,1,1,1.0,0.176,0.8240000000000001,0.6947920446914665,0.9942847833185422,0.5,0.9072906614544788,2.9,0.3128588487774065,group_noQEC
0.176,rep3_toy,rep3_toy,3,1,1,3.0,0.082024448,0.917975552,0.6947920446914665,0.9942847833185422,0.5,0.9537413468120393,8.6,0.11090015660605108,group_QEC
0.176,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.21444167178649576,0.7855583282135042,0.6947920446914665,0.9942847833185422,0.5,0.8882895280450882,12.4,0.07163625226170066,group_QEC
0.176,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.35644394542501057,0.6435560545749894,0.6947920446914665,0.9942847833185422,0.5,0.8180999649889346,16.2,0.05049999783882312,group_QEC
0.176,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.4882307633111147,0.5117692366888853,0.6947920446914665,0.9942847833185422,0.5,0.7529597462658614,20.0,0.037647987313293066,group_QEC
0.176,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.303371961970188,0.696628038029812,0.6947920446914665,0.9942847833185422,0.5,0.8443326388311868,23.799999999999997,0.03547616129542802,group_QEC
0.178,global_noQEC,global_noQEC,1,1,1,1.0,0.178,0.8220000000000001,0.6947920446914665,0.9942847833185422,0.5,0.6423190607363856,1.9,0.3380626635454661,global_noQEC
0.178,group_noQEC,group_noQEC,1,1,1,1.0,0.178,0.8220000000000001,0.6947920446914665,0.9942847833185422,0.5,0.9063020918878417,2.9,0.3125179627199454,group_noQEC
0.178,rep3_toy,rep3_toy,3,1,1,3.0,0.083772496,0.916227504,0.6947920446914665,0.9942847833185422,0.5,0.9528773132851287,8.6,0.11079968759129404,group_QEC
0.178,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.21838833823052783,0.7816116617694722,0.6947920446914665,0.9942847833185422,0.5,0.8863387508769692,12.4,0.07147893152233623,group_QEC
0.178,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3620576415076405,0.6379423584923595,0.6947920446914665,0.9942847833185422,0.5,0.8153252004371156,16.2,0.05032871607636517,group_QEC
0.178,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.4947490301727966,0.5052509698272034,0.6947920446914665,0.9942847833185422,0.5,0.7497378661425226,20.0,0.03748689330712613,group_QEC
0.178,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.30989988633333154,0.6901001136666685,0.6947920446914665,0.9942847833185422,0.5,0.8411059851518305,23.799999999999997,0.035340587611421455,group_QEC
0.18,global_noQEC,global_noQEC,1,1,1,1.0,0.18,0.8200000000000001,0.6947920446914665,0.9942847833185422,0.5,0.6417294766470025,1.9,0.3377523561300013,global_noQEC
0.18,group_noQEC,group_noQEC,1,1,1,1.0,0.18,0.8200000000000001,0.6947920446914665,0.9942847833185422,0.5,0.9053135223212047,2.9,0.3121770766624844,group_noQEC
0.18,rep3_toy,rep3_toy,3,1,1,3.0,0.085536,0.9144639999999999,0.6947920446914665,0.9942847833185422,0.5,0.9520056400926074,8.6,0.11069833024332644,group_QEC
0.18,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.2223505727999997,0.7776494272000003,0.6947920446914665,0.9942847833185422,0.5,0.8843802786213406,12.4,0.07132099021139843,group_QEC
0.18,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3676661234380797,0.6323338765619203,0.6947920446914665,0.9942847833185422,0.5,0.8125530131613825,16.2,0.05015759340502361,group_QEC
0.18,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.5012296304881856,0.4987703695118144,0.6947920446914665,0.9942847833185422,0.5,0.7465346040198564,20.0,0.03732673020099282,group_QEC
0.18,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.3164474734292102,0.6835525265707898,0.6947920446914665,0.9942847833185422,0.5,0.8378696124828849,23.799999999999997,0.03520460556650778,group_QEC
0.182,global_noQEC,global_noQEC,1,1,1,1.0,0.182,0.8180000000000001,0.6947920446914665,0.9942847833185422,0.5,0.6411398925576196,1.9,0.33744204871453665,global_noQEC
0.182,group_noQEC,group_noQEC,1,1,1,1.0,0.182,0.8180000000000001,0.6947920446914665,0.9942847833185422,0.5,0.9043249527545676,2.9,0.3118361906050233,group_noQEC
0.182,rep3_toy,rep3_toy,3,1,1,3.0,0.087314864,0.912685136,0.6947920446914665,0.9942847833185422,0.5,0.9511263746858143,8.6,0.11059609007974586,group_QEC
0.182,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.22632786949427175,0.7736721305057283,0.6947920446914665,0.9942847833185422,0.5,0.8824143613866189,12.4,0.07116244849892088,group_QEC
0.182,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3732685302979969,0.6267314697020031,0.6947920446914665,0.9942847833185422,0.5,0.8097838287005661,16.2,0.04998665609262754,group_QEC
