M,s,entropy,Lbar,n_fix,G_comp,eta_Huff,eta_fix,P_full,P_fix,C_A,C_QEC,P_group_Huff,P_group_fix,baseline_type
32,0.2,4.976498850276566,5.0,5,0.0,0.051404015017661585,0.051398026176073135,0.7710602252649238,0.770970392641097,3,7.0,0.8002350114972344,0.8001410068983407,fixed_length_grouped
32,0.30000000000000004,4.943562227059733,4.975564528732108,5,0.024435471267891806,0.05154633048039033,0.05141061612728139,0.7719353983284362,0.7711592419092209,3,7.0,0.8011508290398321,0.8003386266376417,fixed_length_grouped
32,0.4,4.893304818299329,4.928757992328521,5,0.07124200767147926,0.05181202414759349,0.05142982691036566,0.7734891695921047,0.7714474036554849,3,7.0,0.8027767600011222,0.800640171090204,fixed_length_grouped
32,0.5,4.823533238850416,4.855333889187779,5,0.1446661108122207,0.05222635170692689,0.05145649694193514,0.7758398924205511,0.7718474541290271,3,7.0,0.8052366542709892,0.8010588005668976,fixed_length_grouped
32,0.6000000000000001,4.732494950542798,4.757980184132567,5,0.24201981586743315,0.05278111615377832,0.05149129612582022,0.7789426662938598,0.7723694418873033,3,7.0,0.8084835260753905,0.8016050302967432,fixed_length_grouped
32,0.7000000000000001,4.6191311471166,4.647283079209819,5,0.352716920790181,0.05342730197831601,0.0515346291883665,0.7825648162348213,0.7730194378254975,3,7.0,0.8122738946277984,0.8022852131173004,fixed_length_grouped
32,0.8,4.483303323960931,4.521826341882971,5,0.4781736581170293,0.05417639134385107,0.051586549072654454,0.786740146925297,0.7737982360898168,3,7.0,0.8166431345551994,0.8031001800562345,fixed_length_grouped
32,0.9,4.3259460218672565,4.353942039425804,5,0.6460579605741961,0.055183049081074825,0.0516466985525383,0.7920942880685373,0.7747004782880744,3,7.0,0.8222459308351082,0.8040443238687965,fixed_length_grouped
32,1.0,4.14910418790449,4.167909933378229,5,0.8320900666217712,0.05632805744839701,0.05171429595153432,0.7980508446510436,0.7757144392730148,3,7.0,0.8284791197198776,0.805105374872573,fixed_length_grouped
32,1.1,3.955833483089231,3.9826728982352684,5,1.0173271017647316,0.05751018919824422,0.05178817324999296,0.8041461638746722,0.7768225987498943,3,7.0,0.8348575156114613,0.8062649991014647,fixed_length_grouped
32,1.2000000000000002,3.749971249684316,3.790636764097168,5,1.2093632359028321,0.058773047285006215,0.051866863632341144,0.810517746626628,0.7780029544851171,3,7.0,0.8415250051648248,0.8075001725018941,fixed_length_grouped
