M,source_type,grouping_strategy,baseline_type,result_type,eta_mean,eta_std,eta_min,eta_max,M_res_mean,M_res_std,M_res_min,M_res_max,r_res_pos,P_group_mean,P_base_mean,r_cert_pos
64,near_uniform,overlap_aware,equal_support,approximate,0.06207561607534395,4.859240361422859e-06,0.062072180073532976,0.06207905207715493,-1.673456809461163,7.774784578307976e-05,-1.673511785490139,-1.6734018334321872,0.0,0.9999999999999998,0.9999999999999999,
64,near_uniform,overlap_aware,pgm_fixed_global,approximate,0.06207561607534395,4.859240361430218e-06,0.062072180073532976,0.06207905207715494,-1.6734568094611628,7.774784578315827e-05,-1.673511785490139,-1.673401833432187,0.0,0.9999999999999998,0.9999999999999999,
64,near_uniform,overlap_aware,random_support,approximate,0.06207561607534395,4.859240361442485e-06,0.06207218007353296,0.062079052077154945,-1.305445132663114,0.06661777743665921,-1.352551014836152,-1.2583392504900761,0.0,0.9999999999999998,0.8619956212007315,
64,near_uniform,probability_aware,pgm_fixed_global,approximate,0.06207561607534395,4.859240361430218e-06,0.062072180073532976,0.06207905207715494,-1.6734568094611628,7.774784578315827e-05,-1.673511785490139,-1.673401833432187,0.0,0.9999999999999998,0.9999999999999999,
64,near_uniform,random,pgm_fixed_global,approximate,0.06207512613263732,4.345538214928104e-06,0.06207205337309764,0.062078198892177,-1.6734646485444693,6.952861143924219e-05,-1.6735138126971043,-1.673415484391834,0.0,0.9999999999999998,0.9999999999999999,
64,strong_skew,overlap_aware,equal_support,approximate,0.06240543061609244,5.4921783934422875e-05,0.06234723407214933,0.062456352592042644,-1.6681797768091873,0.0008787485429509885,-1.6691109215122772,-1.6673650251939838,0.0,0.9999999999999999,0.9999999999999999,
64,strong_skew,overlap_aware,pgm_fixed_global,approximate,0.08140470563767527,0.005004971790561227,0.07618160124216804,0.08615848284217735,-1.0483631808126253,0.12483146510084916,-1.1806053475491007,-0.9325741834368899,0.0,0.9999999999999999,0.9987700606136842,
64,strong_skew,overlap_aware,random_support,approximate,0.08138957983586378,0.005010534442032655,0.07615441488919307,0.08614029178971788,-1.0111579441124159,0.1007577685348734,-1.1150474391714886,-0.9138550933111896,0.0,0.9998095109085776,0.9809554248587725,
64,strong_skew,probability_aware,pgm_fixed_global,approximate,0.08140470563767527,0.005004971790561227,0.07618160124216804,0.08615848284217735,-1.0483631808126253,0.12483146510084916,-1.1806053475491007,-0.9325741834368899,0.0,0.9999999999999999,0.9987700606136842,
64,strong_skew,random,pgm_fixed_global,approximate,0.08139536554739618,0.00500306035327075,0.07617769870468315,0.0861518901563561,-1.0484769528779725,0.12480901202975304,-1.1806564491093892,-0.9326506481278356,0.0,0.9998853270024132,0.9987700606136842,
64,zipf,overlap_aware,equal_support,approximate,0.062297648601500194,0.00016543213025800363,0.06209759755684749,0.062469259474734584,-1.6699042890426634,0.0026469140841280207,-1.6731051057571067,-1.6671585150709132,0.0,0.9999999999999999,1.0,
64,zipf,overlap_aware,pgm_fixed_global,approximate,0.07018428232860463,0.008649060743525727,0.06211209060030003,0.08137520797264744,-1.3610478028877107,0.24757436585191783,-1.5880840103405882,-1.0449353593219257,0.0,0.9997920073878763,0.9866426873590516,
64,zipf,overlap_aware,random_support,approximate,0.07014142487082456,0.008699138382745757,0.061995677354232316,0.08138755608781816,-1.3445101959974448,0.2254822978636684,-1.528692879759348,-1.0469126613410702,0.0,0.9991077036754372,0.9802739845138362,
64,zipf,probability_aware,pgm_fixed_global,approximate,0.07017492433755705,0.008660718255105898,0.062074658636109684,0.08137520797264744,-1.3611974958074362,0.24775751214900743,-1.5886827820194904,-1.0449353593219257,0.0,0.9996411290877416,0.9866426873590516,
64,zipf,random,pgm_fixed_global,approximate,0.07008172374355447,0.008733820114175986,0.06189231887133243,0.08135715032919412,-1.3626283680554925,0.24895051017899453,-1.5915995375103624,-1.0451571170173115,0.0,0.9985813485338516,0.9866426873590516,
