dataset,M,source_type,source_param,seed,baseline_type,grouping_strategy,R_sup,A_Huff,A_sep,r_sep,epsilon_in,P_base,P_group,P_full,M_res,Delta_P_group,positive_margin
default_benchmark,16,zipf,0.8,1168,pgm_fixed_global,overlap_aware,0.0638297872340425,0.0025308138651485,0.0022262335039792,,0.0624999999999999,0.9864819492401607,0.9977877562710484,0.9941650113581144,-2.1262171571056756,0.011305807030887682,False
default_benchmark,16,zipf,0.8,1168,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.996359874520249,-2.253640125479751,0.0,False
default_benchmark,16,zipf,0.8,1168,random_support,overlap_aware,0.0638297872340425,0.0039396950660361,0.0039396950660361,,0.0,0.9765059328285776,1.0,0.9963598745202488,-2.092466740649349,0.02349406717142244,False
default_benchmark,16,zipf,1.4,1174,pgm_fixed_global,random,0.2862068965517241,0.0017962039250366,0.0011398608972877,,0.0625,0.9879408237218268,0.9971711982108228,0.993847582052048,-1.938018503916012,0.009230374488995996,False
default_benchmark,16,zipf,1.4,1174,pgm_fixed_global,probability_aware,0.2862068965517241,0.0017962039250366,0.0017222318813745,,0.0235280069220281,0.9879408237218268,0.9992815219775534,0.9973883766968163,-1.9344777092712435,0.011340698255726589,False
default_benchmark,16,zipf,1.4,1174,pgm_fixed_global,overlap_aware,0.2862068965517241,0.0017962039250366,0.0017222318813745,,0.0235280069220281,0.9879408237218268,0.9992815219775534,0.9973883766968163,-1.9344777092712435,0.011340698255726589,False
default_benchmark,16,zipf,1.4,1174,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9981012099726592,-2.251898790027341,0.0,False
default_benchmark,16,zipf,1.4,1174,random_support,overlap_aware,0.1362068965517241,0.000929167764755,0.000859382639317,,0.0312499999999999,0.9951648864375237,0.9992878605854456,0.9973946655052238,-1.9559099357772125,0.004122974147921954,False
default_benchmark,16,zipf,2.0,1180,pgm_fixed_global,random,0.5357142857142857,0.0004460358985648,0.0004226551854838,,0.0330669067149566,0.9966304878779892,0.9996682961118007,0.9987016574301548,-1.746193069462743,0.003037808233811501,False
default_benchmark,16,zipf,2.0,1180,pgm_fixed_global,probability_aware,0.5357142857142857,0.0004460358985648,0.0004083801389133,,0.0625,0.9966304878779892,0.9991631646191416,0.998372676737655,-1.7465220501552428,0.0025326767411523177,False
default_benchmark,16,zipf,2.0,1180,pgm_fixed_global,overlap_aware,0.5357142857142857,0.0004460358985648,0.0004083801389133,,0.0625,0.9966304878779892,0.9991631646191416,0.998372676737655,-1.7465220501552428,0.0025326767411523177,False
default_benchmark,16,zipf,2.0,1180,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9992029374933662,-2.250797062506634,0.0,False
default_benchmark,16,zipf,2.0,1180,random_support,overlap_aware,0.238095238095238,0.000311159969947,0.0002964387571299,,0.0624999999999999,0.9983363175401214,0.999583544495602,0.9987897538855616,-1.7508031263364945,0.0012472269554806292,False
default_benchmark,16,dirichlet,2.0,3620,pgm_fixed_global,random,0.0814332247557003,0.0020569128656277,0.0017459999257108,,0.0625,0.9817947339189744,0.9975924315403574,0.9928323273468364,-2.155565020700529,0.015797697621382945,False
default_benchmark,16,dirichlet,2.0,3620,pgm_fixed_global,probability_aware,0.0814332247557003,0.0020569128656277,0.0017745566097468,,0.0625,0.9817947339189744,0.9977793966274768,0.9932173399561928,-2.1551800080911727,0.015984662708502406,False
default_benchmark,16,dirichlet,2.0,3620,pgm_fixed_global,overlap_aware,0.0814332247557003,0.0020569128656277,0.0019287716090529,,0.017127493272609,0.9817947339189744,0.9992579804890046,0.9946843072741798,-2.1537130407731855,0.017463246570030178,False
default_benchmark,16,dirichlet,2.0,3620,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,0.9999999999999998,0.9954204970840794,-2.25457950291592,-2.220446049250313e-16,False
default_benchmark,16,dirichlet,2.0,3620,random_support,overlap_aware,0.0993485342019544,0.0028548886155736,0.0025755173218419,,0.0624999999999999,0.9787788945068988,0.9979652290005224,0.9934017123309864,-2.145324509482879,0.019186334493623614,False
default_benchmark,16,dirichlet,2.0,3637,pgm_fixed_global,random,0.0916030534351145,0.0011144465388294,0.0009765820343476,,0.1276449938003998,0.9903144385467052,0.9980100441626808,0.993803231968244,-2.167829098981317,0.007695605615975598,False
default_benchmark,16,dirichlet,2.0,3637,pgm_fixed_global,probability_aware,0.0916030534351145,0.0011144465388294,0.000883776864591,,0.1249999999999999,0.9903144385467052,0.9975880528454222,0.9933845560398774,-2.1682477749096836,0.007273614298716979,False
default_benchmark,16,dirichlet,2.0,3637,pgm_fixed_global,overlap_aware,0.0916030534351145,0.0011144465388294,0.0010111733399638,,0.1249999999999999,0.9903144385467052,0.998398034062514,0.9941881736124576,-2.1674441573371035,0.008083595515808839,False
default_benchmark,16,dirichlet,2.0,3637,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,0.9999999999999998,0.995777553650998,-2.2542224463490017,-2.220446049250313e-16,False
default_benchmark,16,dirichlet,2.0,3637,random_support,overlap_aware,0.0946564885496183,0.001520941025054,0.0012591496993256,,0.0133185992784476,0.9891715377407436,0.998424078892656,0.9942140138205208,-2.163769544579083,0.00925254115191243,False
default_benchmark,16,dirichlet,5.0,3650,pgm_fixed_global,random,0.0425531914893617,0.0028602150247462,0.0020754794660145,,0.0625,0.9765329226785974,0.9937761581291048,0.9887300979434502,-2.167176236406576,0.017243235450507433,False
default_benchmark,16,dirichlet,5.0,3650,pgm_fixed_global,probability_aware,0.0425531914893617,0.0028602150247462,0.0025417088736241,,0.0625,0.9765329226785974,0.9977332181460008,0.9928831743283284,-2.163023160021698,0.02120029546740343,False
