M,source_type,source_param,seed,probabilities,huffman_lengths,Lbar,support_overlap_shift,grouping_strategy,groups,payload_generation_mode,P_group_lower,P_fix_upper,P_group_sdp,P_fix_sdp,C_Huff,C_fix,M_cert,dual_feasibility_residual,primal_feasibility_residual,primal_psd_residual,certificate_gap,positive_certificate,decoding_method,result_type
4,near_uniform,0.04,7404,0.24603943;0.25075953;0.24497086;0.25823018,2;2;2;2,2.0,1,random,"2,3|0,1",optimized,0.9999998658646803,0.5089966870757197,1.0,0.5089930823936009,3.0,2,0.07883494508370026,0.0,4.002966042486721e-16,0.0,1.832566784853995e-05,True,exact_sdp,exact
4,near_uniform,0.04,7404,0.24603943;0.25075953;0.24497086;0.25823018,2;2;2;2,2.0,1,overlap_aware,"2,3|0,1",optimized,0.9999998658646803,0.5089966870757197,1.0,0.5089930823936009,3.0,2,0.07883494508370026,0.0,4.002966042486721e-16,0.0,1.832566784853995e-05,True,exact_sdp,exact
4,near_uniform,0.04,7435,0.26859452;0.24001696;0.24829117;0.24309735,2;2;2;2,2.0,0,random,"1,2|0,3",optimized,0.9999996109856195,1.000009185990483,1.0,1.0,3.0,2,-0.16667138933336828,0.0,4.577566798522237e-16,0.0,3.3998863791628864e-05,False,exact_sdp,exact
4,near_uniform,0.04,7435,0.26859452;0.24001696;0.24829117;0.24309735,2;2;2;2,2.0,0,overlap_aware,"0,1|2,3",optimized,0.9999995644058766,1.000009185990483,0.9999998600237545,1.0,3.0,2,-0.1666714048599493,0.0,5.20740757162067e-16,0.0,1.693668304247886e-05,False,exact_sdp,exact
4,near_uniform,0.04,7435,0.26859452;0.24001696;0.24829117;0.24309735,2;2;2;2,2.0,1,random,"1,2|0,3",optimized,0.5168856600587011,0.5168901268688101,0.5168858524970524,0.5168879030054243,3.0,2,-0.08614984341483803,0.0,3.1401849173675503e-16,0.0,4.832603474280717e-06,False,exact_sdp,exact
4,near_uniform,0.04,7435,0.26859452;0.24001696;0.24829117;0.24309735,2;2;2;2,2.0,1,overlap_aware,"0,1|2,3",optimized,0.9999995644058756,0.5168901268688101,0.9999998600237561,0.5168879030054243,3.0,2,0.0748881247008868,0.0,5.661048867003676e-16,0.0,8.238659549020255e-06,True,exact_sdp,exact
4,strong_skew,0.75,7475,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,0,random,"0,1|2,3",optimized,0.9808068964483908,0.9580180808947253,0.980810649779348,0.9580011841741831,2.4166666666666665,2,-0.07315791088251122,0.0,3.987031150377163e-15,0.0,4.140073054315074e-05,False,exact_sdp,exact
4,strong_skew,0.75,7475,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,0,overlap_aware,"0|1,2,3",optimized,0.9999999916666674,0.9580180808947253,1.0,0.9580011841741831,2.4166666666666665,2,-0.06521594044736229,0.0,2.9063572534739615e-15,0.0,3.390503232680864e-05,False,exact_sdp,exact
4,strong_skew,0.75,7475,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,1,random,"0,1|2,3",optimized,0.9808068964483883,0.9697288305275099,0.9808106497793444,0.9697125220183136,2.4166666666666665,2,-0.07901328569890465,0.0,3.0366347492183234e-15,0.0,4.022430785288744e-05,False,exact_sdp,exact
4,strong_skew,0.75,7475,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,1,overlap_aware,"0|1,2,3",optimized,0.9999999916666675,0.9697288305275099,1.0,0.9697125220183136,2.4166666666666665,2,-0.0710713152637546,0.0,2.833806163108808e-15,0.0,3.272860963232649e-05,False,exact_sdp,exact
4,strong_skew,0.75,7506,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,0,random,"1,3|0,2",optimized,0.980806896448387,0.958018079289106,0.9808106497793218,0.9580011833713717,2.4166666666666665,2,-0.07315791007970318,0.0,2.7905448891656e-15,0.0,4.139912488110298e-05,False,exact_sdp,exact
4,strong_skew,0.75,7506,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,0,overlap_aware,"0|1,2,3",optimized,0.9999999916666675,0.958018079289106,1.0,0.9580011833713717,2.4166666666666665,2,-0.06521593964455263,0.0,3.143760730823657e-15,0.0,3.390342671105717e-05,False,exact_sdp,exact
4,strong_skew,0.75,7506,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,1,random,"1,3|0,2",optimized,0.9999999707077776,0.9697288489516684,1.0,0.9697125312303874,2.4166666666666665,2,-0.07107133314847797,0.0,3.726557660468446e-15,0.0,3.348301233274675e-05,False,exact_sdp,exact
4,strong_skew,0.75,7506,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,1,overlap_aware,"0|1,2,3",optimized,0.9999999916666678,0.9697288489516684,1.0,0.9697125312303874,2.4166666666666665,2,-0.07107132447583375,0.0,3.726557660468446e-15,0.0,3.2747033804181314e-05,False,exact_sdp,exact
8,zipf,0.8,7880,0.30919548;0.17758617;0.12839146;0.10199647;0.085321236;0.07374153;0.065186057;0.05858159,2;2;3;3;4;4;4;4,2.7960487561691467,1,overlap_aware,"0|1,4,6|2,3,5,7",optimized,,,0.9963783934776926,0.9885526240578593,4.796048756169147,3,,,,,,False,pgm_approx,approximate
8,zipf,1.8,7980,0.60357403;0.17333112;0.083543427;0.049776294;0.03331076;0.023991549;0.018178334;0.014294487,1;2;3;5;5;5;6;6,1.9310964893130511,1,overlap_aware,"0|1,6|2,3,4,5,7",optimized,,,0.9961633761676026,0.9924814147971509,3.931096489313051,3,,,,,,False,pgm_approx,approximate
8,dirichlet,0.5,7850,0.2329949;0.04900674;0.16179082;0.2460346;0.075514625;0.087844552;0.079342284;0.06747148,2;4;3;2;4;3;4;4,2.7923056279045446,1,overlap_aware,"3,4|0,1,6|2,5,7",optimized,,,0.9963026642867093,0.9862665820526043,4.792305627904545,3,,,,,,False,pgm_approx,approximate
8,near_uniform,0.04,7804,0.12623308;0.12092289;0.12177654;0.12837777;0.12700572;0.12504453;0.12360572;0.12703375,3;3;3;3;3;3;3;3,3.0000000000000004,1,overlap_aware,"2,3,6|1,5,7|0,4",optimized,,,1.0,1.0,5.0,3,,,,,,False,pgm_approx,approximate
8,strong_skew,0.75,7875,0.75;0.035714286;0.035714286;0.035714286;0.035714286;0.035714286;0.035714286;0.035714286,1;4;4;4;4;4;4;3,1.714285714285714,1,overlap_aware,"0|1,3,5,7|2,4,6",optimized,,,0.9999999999999999,0.9920826821544738,3.714285714285714,3,,,,,,False,pgm_approx,approximate
